nome,instituicao_ensino_aluno,idade_aluno,anos_pm,fase,ponto_virada,inde,inde_conceito,pedra,destaque_ieg,destaque_ida,destaque_ipv,iaa,ieg,ips,ida,ipp,ipv,ian,ano,dt_pst
ALUNO-741,,,,5,Sim,7.539924757631258,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9.16668,7.815934065934066,6.875,6.722222222222222,8.28125,8.5000025,5,2022,2025-01-19
ALUNO-742,,,,4,Não,7.406568862193363,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.91667,7.609577922077922,6.875,5.688888888888889,7.34375,7.6666675,10,2022,2025-01-19
ALUNO-743,,,,1,Não,7.381391333333333,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.000020000000001,8.483333333333333,5.625,8.416666666666666,5.833333333333334,7.77778,5,2022,2025-01-19
ALUNO-746,,,,3,Sim,8.510208575470424,,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.5,9.39305259957434,6.25,7.777777777777779,8.59375,9.2083375,10,2022,2025-01-19
ALUNO-747,,,,5,Não,7.590972222222223,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,8.864583333333334,5.625,6.777777777777779,6.25,7.416665,10,2022,2025-01-19
ALUNO-751,,,,1,Não,7.590428480704481,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.50002,9.07018907018907,7.5,7.75,6.041666666666667,7.111109999999999,5,2022,2025-01-19
ALUNO-752,,,,0,Não,7.217943583732057,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.500020000000001,9.04804625199362,5.625,7.166666666666666,5.625,7.499995,5,2022,2025-01-19
ALUNO-753,,,,4,Não,5.061431199756183,,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.91667,3.440830721003135,7.5,1.777777777777778,4.84375,4.9583375,10,2022,2025-01-19
ALUNO-754,,,,5,Não,6.595710665501167,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.75001,6.765005827505828,7.5,5.5,7.34375,6.4166675,5,2022,2025-01-19
ALUNO-755,,,,5,Não,7.468215478632479,,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,8.792467948717949,5,6.944444444444446,8.125,6.291665,10,2022,2025-01-19
ALUNO-757,,,,3,Não,6.195832000000001,,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.5,6.6875,7.5,4.75,6.25,6.41666,5,2022,2025-01-19
ALUNO-759,,,,0,Não,8.00281439031339,,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9.000020000000001,8.618233618233617,7.5,7.833333333333333,5.625,7.499995,10,2022,2025-01-19
